,Chicago,New York City,Detroit,Los Angeles,Philadelphia
0,servicP,sekWrkP,sekWrkP,sekWrkP,pt1p5t2
1,emplydP,rdNRprt,fam5to9,fam4,sekWrkP
2,domstcP,fm1Dtch,laborP,domstcP,fm10t19
3,craftsP,noRadio,pt76to1,propP,profP
4,oprtvsP,fm2SdBS,domstcP,tnPt2pl,fm1Dtch
5,fm1Dtch,profP,pt1p5t2,profP,hghSchl
6,majrRpr,rfrgNRp,pt2plus,rprNRpr,rprNRpr
7,refrgIc,othrStr,refrgNn,servicP,noRadio
8,laborP,semPrfP,clerclP,fm1Dtch,fm2Othr
9,pt2plus,domstcP,emplydP,elmntry,htNCntr
10,htNCntr,nMjrRpr,noSchol,tnPt152,domstcP
11,ntInLbP,pt51t75,nRprtSc,semPrfP,noSchol
12,hghSchl,fam4,fam4,fm2Othr,fam4
13,refrgNn,htNRprt,servicP,laborP,emplydP
14,fam4,pt1t1p5,fam3,nMjrRpr,fam3
